Season,Team,W,L,W/L%,Finish,SRS,Pace,Rel Pace,ORtg,Rel ORtg,DRtg,Rel DRtg,Playoffs,Coaches,Top WS
1989,Chicago Bulls*,55,27,0.671,2,2.74,96.7,-1.6,112.3,4.2,109.0,0.9,Lost E. Conf. Finals,P. Jackson (55-27),M. Jordan (19.0)
1988,Chicago Bulls*,47,35,0.573,5,2.13,97.0,-3.6,109.1,1.3,107.7,-0.1,Lost E. Conf. Finals,D. Collins (47-35),M. Jordan (19.8)
1987,Chicago Bulls*,50,32,0.61,2,3.76,95.5,-4.1,109.0,1.0,105.5,-2.5,Lost E. Conf. Semis,D. Collins (50-32),M. Jordan (21.2)
1986,Chicago Bulls*,40,42,0.488,5,1.26,95.8,-5.0,108.6,0.3,107.6,-0.7,Lost E. Conf. 1st Rnd.,D. Collins (40-42),M. Jordan (16.9)
1985,Chicago Bulls*,30,52,0.366,4,-3.12,99.7,-2.4,108.6,1.4,112.4,5.2,Lost E. Conf. 1st Rnd.,S. Albeck (30-52),O. Woolridge (5.6)
1984,Chicago Bulls*,38,44,0.463,3,-0.5,99.4,-2.7,108.7,0.8,109.6,1.7,Lost E. Conf. 1st Rnd.,K. Loughery (38-44),M. Jordan (14.0)
1983,Chicago Bulls,27,55,0.329,5,-4.69,99.8,-1.6,102.4,-5.2,107.5,-0.1,,K. Loughery (27-55),D. Greenwood (5.7)
1982,Chicago Bulls,28,54,0.341,4,-4.41,106.1,3.0,103.4,-1.3,108.0,3.3,,P. Westhead (28-54),R. Theus (6.5)
1981,Chicago Bulls,34,48,0.415,5,-1.57,99.0,-1.9,106.6,-0.3,108.6,1.7,,J. Sloan (19-32) P. Johnson (0-1) R. Thorn (15-15),A. Gilmore (12.1)
1980,Chicago Bulls*,45,37,0.549,2,2.34,100.6,-1.2,107.8,2.3,105.8,0.3,Lost E. Conf. Semis,J. Sloan (45-37),A. Gilmore (12.3)
1979,Chicago Bulls,30,52,0.366,4,-2.63,101.8,-1.3,104.3,-1.0,107.0,1.7,,J. Sloan (30-52),R. Theus (6.9)
1978,Chicago Bulls,31,51,0.378,5,-3.78,102.9,-2.9,101.3,-2.5,105.1,1.3,,L. Costello (20-36) S. Robertson (11-15),A. Gilmore (12.7)
1977,Chicago Bulls,40,42,0.488,3,-0.79,101.5,-5.2,102.0,1.1,102.9,2.0,,E. Badger (40-42),A. Gilmore (11.5)
1976,Chicago Bulls*,44,38,0.537,3,0.92,100.0,-6.5,98.3,-1.2,97.4,-2.1,Lost W. Conf. 1st Rnd.,E. Badger (44-38),A. Gilmore (12.2)
1975,Chicago Bulls,24,58,0.293,4,-2.89,100.3,-5.2,95.2,-3.1,98.0,-0.3,,D. Motta (24-58),M. Johnson (8.3)
1974,Chicago Bulls*,47,35,0.573,1,2.88,99.7,-4.8,97.4,-0.3,94.4,-3.3,Lost W. Conf. Finals,D. Motta (47-35),C. Walker (10.5)
1973,Chicago Bulls*,54,28,0.659,2,3.2,105.0,-2.8,96.7,-1.0,93.6,-4.1,Lost W. Conf. Finals,D. Motta (54-28),C. Walker (10.6)
1972,Chicago Bulls*,51,31,0.622,2,3.43,104.5,-6.2,98.9,2.1,95.6,-1.2,Lost W. Conf. Semis,D. Motta (51-31),C. Walker (10.9)
1971,Chicago Bulls*,57,25,0.695,2,7.91,108.6,-3.4,101.9,4.0,94.3,-3.6,Lost W. Conf. Semis,D. Motta (57-25),C. Walker (14.5)
1970,Chicago Bulls*,51,31,0.622,2,5.47,109.7,-5.4,100.5,3.3,95.7,-1.5,Lost W. Conf. Semis,D. Motta (51-31),C. Walker (10.9)
1969,Chicago Bulls*,39,43,0.476,3,-1.71,116.5,-0.6,97.6,-1.4,99.1,0.1,Lost W. Div. Semis,D. Motta (39-43),C. Walker (9.8)
1968,Chicago Bulls,33,49,0.402,5,-2.11,113.4,-3.5,92.0,-3.5,94.0,-1.5,,D. Motta (33-49),B. Boozer (11.6)
1967,Chicago Bulls*,29,53,0.354,4,-3.76,115.7,-4.1,94.1,-2.7,97.5,0.7,Lost W. Div. Semis,R. Kerr (29-53),B. Boozer (10.6)
1966,Chicago Bulls*,33,48,0.407,4,-3.37,122.2,0.6,92.3,-3.8,95.4,-0.7,Lost W. Div. Semis,R. Kerr (33-48),B. Boozer (9.4)
